_id,ml_model_id,metric_name,metric_value,metric_type
eval_001,model_001,Accuracy,0.87,classification
eval_002,model_001,Precision,0.85,classification
eval_003,model_001,Recall,0.89,classification
eval_004,model_001,F1-Score,0.87,classification
eval_005,model_002,Accuracy,0.92,classification
eval_006,model_002,Precision,0.94,classification
eval_007,model_002,Recall,0.90,classification
eval_008,model_002,F1-Score,0.92,classification
eval_009,model_003,Accuracy,0.85,classification
eval_010,model_003,RMSE,0.12,regression
eval_011,model_003,MAE,0.09,regression
eval_012,model_004,Accuracy,0.95,classification
eval_013,model_004,Precision,0.96,classification
eval_014,model_004,Recall,0.94,classification
eval_015,model_004,F1-Score,0.95,classification
eval_016,model_005,Accuracy,0.89,classification
eval_017,model_005,Precision,0.87,classification
eval_018,model_005,Recall,0.91,classification
eval_019,model_005,F1-Score,0.89,classification
eval_020,model_006,Accuracy,0.93,classification
eval_021,model_006,Precision,0.95,classification
eval_022,model_006,Recall,0.91,classification
eval_023,model_006,F1-Score,0.93,classification
eval_024,model_007,Accuracy,0.88,classification
eval_025,model_007,Precision,0.86,classification
eval_026,model_007,Recall,0.90,classification
eval_027,model_007,F1-Score,0.88,classification
eval_028,model_008,Accuracy,0.90,classification
eval_029,model_008,Precision,0.92,classification
eval_030,model_008,Recall,0.88,classification
eval_031,model_008,F1-Score,0.90,classification
eval_032,model_009,Accuracy,0.82,classification
eval_033,model_009,RMSE,0.15,regression
eval_034,model_009,MAE,0.12,regression
eval_035,model_009,R-squared,0.78,regression
eval_036,model_010,Accuracy,0.91,classification
eval_037,model_010,Precision,0.89,classification
eval_038,model_010,Recall,0.93,classification
eval_039,model_010,F1-Score,0.91,classification
eval_040,model_011,Accuracy,0.88,classification
eval_041,model_011,RMSE,2.3,regression
eval_042,model_011,MAE,1.8,regression
eval_043,model_011,R-squared,0.85,regression 
